Última Atualização,Submercado,Carga_Verificada,Dia,Mês,Ano,Hora,Minuto
,N,{{norte_verificada}},19,3,2021,20:05,
,NE,{{nordeste_verificada}},19,3,2021,20:05,
,SE,{{sudeste_verificada}},19,3,2021,20:05,
,S,{{sul_verificada}},19,3,2021,20:05,
,N,{{norte_verificada}},19,3,2021,20:21,
,NE,{{nordeste_verificada}},19,3,2021,20:21,
,SE,{{sudeste_verificada}},19,3,2021,20:21,
,S,{{sul_verificada}},19,3,2021,20:21,
,N,{{norte_verificada}},19,3,2021,20:36,
,NE,{{nordeste_verificada}},19,3,2021,20:36,
,SE,{{sudeste_verificada}},19,3,2021,20:36,
,S,{{sul_verificada}},19,3,2021,20:36,
,N,{{norte_verificada}},19,3,2021,20:51,
,NE,{{nordeste_verificada}},19,3,2021,20:51,
,SE,{{sudeste_verificada}},19,3,2021,20:51,
,S,{{sul_verificada}},19,3,2021,20:51,
,N,{{norte_verificada}},19,3,2021,21:06,
,NE,{{nordeste_verificada}},19,3,2021,21:06,
,SE,{{sudeste_verificada}},19,3,2021,21:06,
,S,{{sul_verificada}},19,3,2021,21:06,
,N,{{norte_verificada}},19,3,2021,21:21,
,NE,{{nordeste_verificada}},19,3,2021,21:21,
,SE,{{sudeste_verificada}},19,3,2021,21:21,
,S,{{sul_verificada}},19,3,2021,21:21,
,N,{{norte_verificada}},19,3,2021,21:36,
,NE,{{nordeste_verificada}},19,3,2021,21:36,
,SE,{{sudeste_verificada}},19,3,2021,21:36,
,S,{{sul_verificada}},19,3,2021,21:36,
20/03/2021 08:59,N,"5204,6",20,3,2021,09:01,
20/03/2021 08:59,NE,"9913,6",20,3,2021,09:01,
20/03/2021 08:59,SE,"37872,9",20,3,2021,09:01,
20/03/2021 08:59,S,"11573,9",20,3,2021,09:01,
20/03/2021 11:08,N,"5253,7",20,3,2021,11:10,
20/03/2021 11:08,NE,"10107,8",20,3,2021,11:10,
20/03/2021 11:08,SE,"39340,4",20,3,2021,11:10,
20/03/2021 11:08,S,"11998,2",20,3,2021,11:10,
20/03/2021 11:13,N,"5241,2",20,3,2021,11:15,
20/03/2021 11:13,NE,"10125,4",20,3,2021,11:15,
20/03/2021 11:13,SE,"39372,4",20,3,2021,11:15,
20/03/2021 11:13,S,"11951,9",20,3,2021,11:15,
20/03/2021 11:33,N,"5228,1",20,3,2021,11:36,
20/03/2021 11:33,NE,"10213,2",20,3,2021,11:36,
20/03/2021 11:33,SE,"39622,0",20,3,2021,11:36,
20/03/2021 11:33,S,"12048,6",20,3,2021,11:36,
20/03/2021 11:38,N,"5213,0",20,3,2021,11:40,
20/03/2021 11:38,NE,"10196,4",20,3,2021,11:40,
20/03/2021 11:38,SE,"39687,5",20,3,2021,11:40,
20/03/2021 11:38,S,"12052,3",20,3,2021,11:40,
20/03/2021 11:43,N,"5231,0",20,3,2021,11:45,
20/03/2021 11:43,NE,"10167,5",20,3,2021,11:45,
20/03/2021 11:43,SE,"39765,9",20,3,2021,11:45,
